# app1                     app2
# time        devication   time      devication
5   0.000014    0.000003    0.000015    0.000001
10  0.000071    0.000004    0.000038    0.000002
15  0.000101    0.000014    0.000041    0.000002
20  0.000132    0.000013    0.000043    0.000002
25  0.000239    0.000087    0.000045    0.000011
30  0.000343    0.000095    0.000046    0.000013
35  0.000487    0.000121    0.000047    0.000016
40  0.000694    0.000130    0.000049    0.000020
45  0.000897    0.000142    0.000057    0.000024
50  0.001127    0.000201    0.000062    0.000028
